id,collection,advisor,author,department,secondreader,date,abstract,service,identifier,publisher,subject,title,type,discipline,level,degree_name
51041,10945/17,"Whitaker, Lyn R.","Monaghan, Emilie M.",Operations Research,"Alt, Jonathan K.",2016-09,"This research develops a statistical model for predicting the number of leads, as an indicator of market depth, that a ZIP code will produce for Navy Recruiting Command (NRC). The U.S. Navy recruits from all over the country, using previous accessions in a recruiting district to assign recruiters and goals. This research develops statistical models to determine the key drivers of the number of leads at the ZIP code level. This research develops a Poisson regression model to predict the number of leads using factors such as IRS-estimated population size and five cluster membership factors constructed from publicly available data sources. We recommend that NRC make use of the Poisson regression model in order to determine high-yield ZIP codes for market depth.","Captain, United States Marine Corps",http://hdl.handle.net/10945/50598,"Monterey, California: Naval Postgraduate School",Navy Recruiting Command||NRC||recruiting||data analysis||clusters||generalized linear regression||leads||Poisson regression,Estimating the depth of the Navy recruiting market,Thesis,Operations Research,Masters,Master of Science in Operations Research
50965,10945/17||10945/11539,"Singham, Dashi I.","Cheng, Chun Chieh",Operations Research,"Atkinson, Michael P.",2016-09,"The Brownian bridge movement model (BBMM) models target movement between two known points as a Brownian bridge. This thesis extended the BBMM to account for multiple starting and ending points and to account for intelligence inputs midway through the target movement. The BBMM is applied to a military scenario where U.S. forces are conducting surveillance to monitor the breakout of Chinese forces in the South China Sea. Probability heat maps, depicting the probability of a target location at discrete times, are generated through simulations in MATLAB. Using the heat maps, this thesis developed an algorithm to automate the placement of sensors to detect the target. This thesis focused on the use of a network of unmanned sensors as the means for target detection. The relationship between the sensors' attributes and the probability of detection is explored through a meta-experiment. The experiment utilizes a three-stage algorithm that generates heat maps, deploys sensors and randomizes intelligence inputs, and measures the probability of detection. A trade-off analysis was conducted and showed that to achieve a higher probability of detection, it is more effective to have sensors cover a wider area at fewer discrete points in time than to have a greater number of discrete looks using sensors covering smaller areas.","Major, Singapore Armed Forces, Army",http://hdl.handle.net/10945/50522,"Monterey, California: Naval Postgraduate School",Brownian bridge movement models||unmanned sensors||probability of detection||search and detection||simulations,A Brownian bridge movement model to track mobile targets,Thesis,Operations Research,Masters,Master of Science in Operations Research
51029,10945/17,"Buttrey, Samuel E.","Bazalaki, Peter",Operations Research,"Lucas, Thomas W.",2016-09,"U.S. statutory policy requires the armed services to continuously balance manpower inventory with congressionally authorized requirements. Inaccurate forecasts put the Navy's budget at risk and degrade overall mission readiness. Navy policymakers must be able to rely on accurate inventory forecasts to develop necessary manpower plans that steer inventory to match planned authorizations. Strength planners, in turn, rely on forecasting models like the Officer Strategic Analysis Model (OSAM) in an attempt to accurately predict future inventory levels. This study utilizes applications of data farming to OSAM to simulate Unrestricted Line Officer (URL) inventory over a seven-year period. Additionally, the research utilizes applications of Design of Experiments (DOE) to project Surface Warfare Officer (SWO) inventory across a variety of assumptions, including a proposed Enhanced Probationary Officer Continuation and Re-designation (EPOCR) policy. Analysis finds that current policy will reduce FY2016 URL inventory by 8% over a seven-year period, and over-execute SWO inventory authorizations by 40%. We find that EPOCR reduces operating strength deviation (OSD) in total SWO inventory strength by 12% by FY2022. Additionally, implementing a low accession plan and a high transfer plan is the most robust in correcting OSD. When implemented correctly, EPOCR has the potential to decrease OSD to modest levels with minimal risk of under-execution.","Lieutenant, United States Navy",http://hdl.handle.net/10945/50586,"Monterey, California: Naval Postgraduate School",Manpower||end strength||design of experiments||simulation||Officer Strategic Analysis Model (OSAM)||inventory projection||data farming. Robust Analysis||Meta-Modeling,An exploratory analysis of projected Navy officer inventory strength using data farming,Thesis,Operations Research,Masters,Master of Science in Operations Research
50903,10945/17||10945/11539,"Kress, Moshe||Atkinson, Michael","ben Yoash, Roey",Operations Research,"Szechtman, Roberto",2016-09,"Stealth and high endurance make submarines ideally suited to a variety of missions, and finding ways to detect, track, and, if necessary, acquire and attack them has long been a topic of research. In this thesis, we study effective ways to operate an MH-60R helicopter in anti-submarine warfare (ASW) missions. Following an initial cue given by an external source indicating the presence of a possible submarine target, a helicopter is sent to detect, follow, acquire, and attack the submarine. To perform its mission, the helicopter can carry various payloads of sensors and torpedoes. The first part of the thesis focuses on a helicopter equipped with dipping sonar and develops a model that optimizes the operation of the helicopter and measures its effectiveness. We analyze the effect of the different input parameters, such as helicopter speed, submarine speed, sensor detection radius, and travel time to the point of detection on the optimal dipping pattern and the probability of mission success, and show that arrival time is the most important parameter. We also address the optimization problem associated with the payload of a helicopter on an ASW mission and determine the best mix of fuel, sensors, and weapons for a helicopter on such a mission.","Captain, Israel Defense Forces",http://hdl.handle.net/10945/50460,"Monterey, California: Naval Postgraduate School",Anti-submarine warfare||search and detection,Anti-submarine warfare search models,Thesis,Operations Research,Masters,Master of Science in Operations Research
50932,10945/17,"Whitaker, Lyn R.","Tam, Francis",Operations Research,"Anglemyer, Andrew",2016-09,"This study analyzes data from a select group of active duty (AD) service members enrolled to the Puget Sound area Navy military treatment facilities (MTF) in order to develop a model that identifies the risk that opioid users will become high opioid users, as defined by Navy Bureau of Medicine and Surgery (BUMED). The analysis examines the relationship between the response variable_„îhigh opioid user_„îas a function of a number of explanatory variables, including patient age, deployment history, sources of prescription and medical diagnoses. Logistic regression and machine learning models are used for data analysis. The study concludes that a simple, executable model that consolidates the variables to two explanatory factors performs as well, if not better than, the more complicated machine learning models. The two highly influential factors are the number of prescription sources for opioid medications and the total number of diagnoses. This logistic regression model has the potential to benefit Navy Medicine to make important decisions for their opioid-prescribed patients. With the ability to identify the risk that an opioid user becomes a high user, healthcare leaders can better manage resources to focus on the prevention and treatment of higher-risk patients. This concentrated coordination can result in improved patient care for this sub-population, reduced long-term cost for the military healthcare system and, overall, a more medically ready military force.","Lieutenant Commander, United States Navy",http://hdl.handle.net/10945/50489,"Monterey, California: Naval Postgraduate School",opioids||statistical analysis||logistic regression||active duty military,Analyzing predictors of high opioid use in the U.S. Navy,Thesis,Operations Research,Masters,Master of Science in Operations Research
50941,10945/17,"Horner, Douglas P.||Royset, Johannes O.","Tydingco, Peter M.P., II",Operations Research,,2016-09,"This research investigates the ability of epi-splines to improve upon current methods of creating empirical semivariograms for use in optimal spatial estimation (OSE). Models utilizing traditional methods of curve fitting for semivariograms (spherical, exponential, and MatÍ©rn) used in the spatial estimation process are compared to a proposed model that employs an epi-spline for curve fitting. The resulting semivariograms are then used for kriging to produce spatial estimation using a sparse number of measurements. The epi-spline model improves upon the mean absolute error, mean standard error, and range of errors when compared to traditional methods. However, the comparisons indicate that goodness of fit does not drastically improve the resultant spatial estimation. The benefit of epi-splines, in addition to their ability to more accurately depict the relationship between data points, is their ability to incorporate soft information in the form of constraints and the tighter variance of estimates resulting from their use.","Lieutenant, United States Navy",http://hdl.handle.net/10945/50498,"Monterey, California: Naval Postgraduate School",epi-splines||terrain aided navigation||semivariograms||kriging||optimal spatial estimation,The use of epi-splines to model empirical semivariograms for optimal spatial estimation,Thesis,Operations Research,Masters,Master of Science in Operations Research
50985,10945/17,"Nussbaum, Daniel A.||Atkinson, Michael P.","Anderson, Alexander D.",Operations Research,,2016-09,"The ability of unmanned aerial vehicles to execute intelligence, surveillance, reconnaissance, and targeting and strike missions creates a trade-space decision for naval aviation programmatic decision makers. In the military's current fiscal climate, manned and unmanned aircraft compete for limited funding. This study takes a simulation approach using the simulation modeling framework based on intelligent objects (SIMIO) environment to model a fast attack craft/fast inshore attack craft anti-surface warfare expanded kill chain. It tests and analyzes multiple manned and unmanned aircraft configurations. In the evaluation of unclassified concepts of operation and use of unclassified data sources, results indicate that aircraft attrition due to hostile weapon engagements is the dominant factor in the determination of concept of operation efficiency. Based on the operational environment, low cost and less capable unmanned aircraft provide an alternative to the increased survivability of manned aircraft or more capable and higher cost unmanned aircraft. We provide quantifiable metrics that enable the efficient and effective selection of aircraft to execute fast attack craft/fast inshore attack craft anti-surface warfare kill chains.","Commander, United States Navy",http://hdl.handle.net/10945/50542,"Monterey, California: Naval Postgraduate School",unmanned aerial vehicles||manned aircraft||kill chain||surveillance||detection||SIMIO,Manned and unmanned aircraft effectiveness in fast attack craft / fast inshore attack craft ASUW kill chain execution,Thesis,Operations Research,Masters,Master of Science in Operations Research
51039,10945/17,"Carlyle, W. Matthew","Molina, Guy A.",Operations Research,"Kline, Jeffrey",2016-09,"Joint maritime operational planning is the difficult task of assigning various platforms to accomplish a multitude of missions in several areas of operations. The task becomes more difficult as resources are limited, mission requirements evolve, and platform capabilities vary. Emerging threats and technology in the undersea domain have created renewed interest and increased the priority of undersea warfare (USW) planning. This thesis develops and provides a proof-of-concept for a decision-support tool to aid operational planning in a USW environment. Specifically, it provides an optimization model with an optimal solution that maximizes multi-mission achievement in a theater USW environment through the scheduling of surface, sub-surface, and air assets over a non-fixed time horizon. Tactics and their mathematical representation are an input to our model. This makes the model easily adapted to any USW scenario and other warfare areas where mission achievement can be measured quantitatively.","Lieutenant, United States Navy",http://hdl.handle.net/10945/50596,"Monterey, California: Naval Postgraduate School",optimization||integer programming||binary integer programming||navy operational planner||maritime operational planning tool||decision aid||navy logistics||navy mission planner||NMP||NOP||USW||ASW||MIW,Navy operational planner - undersea warfare module,Thesis,Operations Research,Masters,Master of Science in Operations Research
49823,10945/17||10945/11539,"Carlyle, W. Matthew||Dell, Robert F.","Zerr, Gregory T.",,,2016-06,"The 2016 United States Marine Corps (USMC) Aviation Plan establishes the timeline to transition all F/A-18 Hornet squadrons to the F-35 Joint Strike Fighter. Ensuring Hornets can continue to support operational requirements during this transition is a challenge. In this thesis we address the management of the USMC Hornet inventory by developing, implementing, and testing an integer linear program called Hornet Assignment Sundown Model (HASM). HASM prescribes each individual Hornet's monthly squadron assignment, utilization, maintenance, storage, and retirement over its remaining service life while ensuring each squadron satisfies (to the extent possible) monthly flight hour requirements. To test HASM, this thesis develops forecasts of monthly squadron flight hour requirements and readiness rates from randomly and uniformly generated values using median performance with noise as inputs. Computational analysis using unclassified information on the USMC Hornet inventory demonstrate HASM's ability to illustrate the impact of management strategies on meeting future requirements. This thesis identifies future shortfalls and assesses requirement reductions to mitigate them so that resources can be applied to efficiently and effectively preserve the combat capability of the Marine Corps Air Ground Task Force.","Captain, United States Marine Corps",http://hdl.handle.net/10945/49419,"Monterey, California: Naval Postgraduate School",F/A-18 Hornet||integer linear programming||optimization||cascade||rolling horizon||aircraft maintenance||inventory management,Optimization of USMC Hornet inventory,Thesis,Operations Research,Masters,Master of  Science in Operations Research
49826,10945/17,"Alderson, David L.||Lin, Kyle Y.","Brendecke, Jan-Wilhelm",,"Atkinson, Michael P.",2016-06,"This thesis formulates and solves a Markov decision problem to find the optimal repair and replacement policy for a system of multiple components whose failure rates are age-dependent. We assume that the failure rate for an old component is higher than for that of a new component. When a component fails, it can either be replaced, making it new, or repaired, making it functional but old. An old component can also be replaced proactively. We formulate the model for a single component as a linear program, and perform parametric analysis on the transition probabilities and system rewards to understand when different policies are optimal. We extend the model to include multiple, independent components, and apply the model to a notional infrastructure network whose performance depends on the state of its network links.","Major, German Army",http://hdl.handle.net/10945/49422,"Monterey, California: Naval Postgraduate School",Failure||Repair||Replace||Multiple Component Models||Maintenance Models||Markov Decision Process,Optimal repair and replacement policy for a system with multiple components,Thesis,Operations Research,Masters,Master of  Science in Operations Research
