Name,Abstract
Student 1,"On 31 December 2014, North Atlantic Treaty Organization (NATO) support in Afghanistan transitioned from combat to a train, advise, and assist mission, and is officially known as Operation Resolute Support (ORS). The United States military mission in Afghanistan, the post-2014 follow-on to Operation Enduring Freedom, is known as Operation FreedomÍs Sentinel. It is part of the NATO-led ORS and consists of two components. One is working with allies as part of the train, advise, and assist mission, and the second is to conduct counterterrorism operations against the remnants of al-Qaeda to ensure that Afghanistan is never again used to stage attacks against the homeland. The terrorist threat worldwide remains high. How will the transition in Afghanistan affect the targeting of terrorist networks worldwide? There are numerous strategic and national-level policies enacted in recent years governing targeting operations, not only in Afghanistan and neighboring Pakistan, but worldwide. How will they be effected? Are there other considerations for the SOF targeting process? Current events convey significant and violent changes around the globe. Which agency should have the lead? How might interagency responsibilities and mutual assistance be refined? What, if any, authorities gaps exist? How can SOF continue to ensure that counterterrorist efforts outpace terror networksÍ ability to regenerate?"
Student 2,"Transregional threats have no respect for nation state sovereignty and ïofficialÍ borders. To the contrary, they capitalize on seams between states and regions. The United States and its allies must develop transregional solutions to close those gaps and perceived opportunities. How do they do that? Generally, how do SOF address transregional threats using all the elements of national power when most, if not all, United States Government (USG) departments and agencies are configured along national or regional lines? What constructs exist, or should exist, to synchronize USG transregional efforts below the National Security Strategy level? What is the role of the U.S. country team, who by definition is narrowly focused on a single country, in addressing transregional threats? What current agency/departmental cultures exist that hinder this collaboration, and how do SOF overcome them? How can partner nations be best incorporated in transregional efforts? SOF often operate outside of the theaters of war to achieve a TSOCÍs campaign support plan objectives. That is often accomplished in conjunction with other USG agencies„whether officially designated or out of necessity for resources and authorities, to achieve mission success. What are the best practices toward attaining interagency cooperation and interdependence? What are the objective barriers to success? What defines mission success versus the success of cooperation? What challenges do SOF personnel face when operating with a whole-of-government approach?"
Student 3,"Current conventional, hybrid, and subnational threats have prompted NATO SOF to address security concerns from a regional perspective. As a result of the Crimean annexation, for example, Poland and the Baltic States have polarized SOF assets around Polish SOF command and control (C2). Other regions could follow suit. This approach allows SOF-capable nations to help mitigate security challenges by compensating for a partner nationÍs SOF capability limitations (perhaps through multinational SOF capability packages). How would historical enmities within a region impact such an approach? Would such an approach provide increased effectiveness from a cost-benefit perspective? How could the U.S. foreign internal defense (FID) mission set support such an approach? What status-of-forces agreement or other legal considerations would need to be addressed? Could theme-focused hubs (as opposed to regional hubs) provide a better solution when addressing transregional threats? What would be the  advantages and disadvantages, constraints, and obstacles associated with multinational SOF basing? What countries and regions are best suited to multinational basing? What lessons can be learned from past joint and multinational basing efforts?"
Student 4,"Online recruitment and social network node analysis Through social media Salafi jihadist organizations employ global recruitment campaigns to both support a caliphate concept and wage jihad throughout the world. While thousands of social media handles can, in some fashion, connect would-be radicals, there may very well be only a select group of nodes serving as key gateways in advancing jihadist propaganda. Some of these nodes may be unaware of their role and credibility in building a jihadi recruitment base. Defeating jihadi campaigns likely will require identifying these nodes and attacking them directly via counter-messaging. While there are a number of ongoing studies on jihadist social media, what new analytic approaches can yield additional insight on key nodes? How can these approaches better identify and assess threats?"
Student 5,"Talent management is a current, relevant issue military unit leaders face. The number of human resources available--particularly those with beneficial or required experiences and skills--are limited, and as a result leaders must invest deliberate thought and consideration into how they build teams fit for the missions at hand. Army units, depending upon their sizes, capabilities, and budgets, have an array of available talent management tools to help leaders optimize whom they hire and where they put these people. However, unless the unit is at the regiment level or higher, many of these tools are limited in scope to job highly generalized, and often embellished, performance reports and experience resumes."
Student 6,"Within groups of people there exist the social phenomena called team cohesion and human chemistry. Although both concepts refer to psychological unions of individuals, they bear subtle differences in how their catalysts for attraction operate. Team cohesion develops in response to external elements--such as suffering or shared goals--and is thus easy for group leaders to manufacture or cultivate for the benefit of the team. Human chemistry--sometimes referred to as charisma or animal attraction--exists solely within the human psyche, and is difficult to predict, much less manufacture. Army leaders excel at building teams through cohesion (or aptly named ñteam-buildingî) events; however, unless those leaders specialize in psychology, or have spent many years working closely with unique individuals, they do not have many mechanisms to predict whether the individuals within a team will naturally ñclickî or seek to work together in the absence of an external, unifying event."
Student 7,"Matchmaking algorithms seek to articulate human chemistry in an effort to draw people into positive relationships. While imperfect, the continual collection and refinement of data is increasing the potential of algorithms to better predict human chemistry as it relates to naturally-forming relationships. Although these algorithms are typically advertised as being able to help build two-person relationships, it is becoming more likely that these algorithms may be able to expand to help build or refine multi-person teams."
Student 8,"The Royal Canadian Air Force has failed to pivot towards the deepening operational relevance of CANSOFCOM. In its capstone document, Air Force Vectors, the RCAF clusters SOF with Space and Cyber activities, which are both significantly more niche and less mature than CANSOFCOM. With more than ten years of domestic and expeditionary SOF operations in support of CanadaÍs national interest, CANSOFCOM has become a highly reliable organization. The future shows no end to the prominence of SOF, which the RCAF must acknowledge and endorse. SOF has a role to play in this as well. CANSOFCOM must cohere an assessment of the future which steers its development, generation, management and sustainment writ large while specifically encompassing SOF-specific air power. Numerous trends in air and aviation indicate that the future of air power may look significantly different than today. First, it is assessed that any assets in the air domain will be a mixture of manned and unmanned assets. The use of unmanned systems is assured, to the point where a better question might be whether or not manned assets will continue to fly. A subsequent trend of future air and aviation to consider is that of the next generation of rotary wing platforms. Future rotary wing assets could trend towards super-helos, personified in the Sikorsky SB Defiant, or the tilt-rotor class of aircraft platforms, most notably the Bell V280 Valour. Regardless of which path future SOF aviation takes, it appears evident that the payload and range differentiation between helicopters and fixed wing assets will continue to coalesce in the tactical realm. Turning to future precision strike assets, the future has a potential schism lurking in the shadows between highly complex fifth and sixth generation stealth fighters, and simple, down-teched light fighters, such as the A-29 Super Tucano. Last, all the collection and action assets aside, the sheer depth and breadth of data requiring processing, exploitation and dissemination is a daunting challenge for any military element, let alone a relatively minor SOF Command. The increase in unmanned assets, artificial intelligence, future fixed and rotary wing platforms, and challenges in exploitation and dissemination of intelligence will affect the Canadian Armed Forces well into the future. There are significant and valuable implications for CANSOFCOM which will help steer capability and capacity development well into the future."
Student 9,"Research Question: Is there an America identity crisis? If so, is it a threat to national security?  Introduction: This thesis will explore American Identity (what it means to be an American) and whether or not this lack of identity can be exploited by the adversaries and competitors of the United States. We propose, that if America does not get less divided or re-establish its identity, adversaries will take advantage. This thesis will need to address key American divides and why they matter. Identity issues are causing political unrest all over the world. This apparent identity crisis seems to have become most apparent during the recent US Presidential election, but existed well before that season. American priorities and involvement in the international system appear to be shifting. Considering the WestÍs remarkable achievements of the past three centuries, it would seem appropriate to analyze the cause for this seeming seismic shift in national priorities. Scholars, pundits, and layman alike have attempted to define American Identity throughout the course of American history. While many present convincing arguments, none fully reflect the nation that exists today. The United States have evolved through social, moral, political, ethnic, and cultural changes that require much more breadth to in defining what it means to be an American. Since domestic identity shapes foreign policy, it is imperative to fully understand the American identity in order to appropriately apply it to foreign policy dilemmas. Similarly, before the nation can adequately defend against attacks against its identity„or identities„it must understand them. Some have defined American Identity by saying that, ñAmerica is a predominantly Christian nation and becoming more soî (Samuel Huntington) or, ñAmerican Identity is pathologically aggressive and warlikeî (Walter Hixson) or something wholly different. This thesis will analyze these and many similar arguments to determine if they truly reflect all Americans. This challenge is complex and demanding, as America consists of a richly diverse people, not only in ethnicity, culture, and heritage, but also in moral values. With the value of the individual clearly outlined in the Declaration of Independence and protected by the Constitution, this identity must be extremely broad with massive appeal. This analysis of the American Identity will include new research in social psychology and argue that our tribal nature facilitates these divisions and therefore, damages foreign policy initiatives resulting in greater threats to national security. AmericaÍs foreign policy should reflect the values of its culture, emphasizing individual liberty in a vastly multicultural environment and not denying but, accepting opposing viewpoints. A politically divided America is healthy until cultural hegemony is achieved by one class, political party, or race. This can lead to real or perceived fissures that could be exploited to threaten, or perhaps even reduce, US hegemony. Now, more than ever, it is essential to ask, does America lack an identity? Once this initial question is answered, this thesis will explore the extent to which adversaries can take advantage of these divisions and/or how they might further exploit division within the United States."
Student 10,"In 1957, the launch of Sputnik marked a new era for mankind as humans reached beyond the Earth and into the heavens.  The dawn of the space era led to scientific breakthroughs and technological innovations that forever changed the human way of life.  Today, modern governments and militaries are highly dependent on space technology to function, and the United States (U.S.) uses this advanced equipment to wage its modern style of war.  Space technology enables the U.S. to conduct quick decisive operations with decentralized units and precision weapons„the new American way of war. Though space-based technology is a cornerstone of the modern American military, the U.S. is teetering dangerously close to an overreliance on this technology.  With increased tensions between the U.S. and state actors such as Russia, a reliance on spaced-based technology creates startling vulnerabilities.  An adversary capable of jamming satellite signals or attacking satellite infrastructure could cause catastrophic failures across the spectrum of operations. Making matters worse, little exists in the way of protection or contingency plans in the event of such an attack.  This paints a stark reality: an overreliance on advanced technology is putting the U.S. in a vulnerable position.  However, emerging technologies in miniature satellites provide potential solutions to this critical vulnerability.  Cube satellites, for example, are 10cm3 satellites designed to fly in a low earth orbit.  Their relatively small size and low orbit altitude makes them an inexpensive and potentially quick alternative to traditional satellites and gives rise to unique applications.   Given that the American way of war is now inexorably linked to space-based technology and thus increasingly vulnerable, could the U.S. build a stockpile of cube satellites ready for launch as a short-term solution to prepare for and protect against adversaries capable of exploiting such vulnerabilities?"
